group,word_counts,sentence_counts,char_counts,ocr_error_rates,avg_word_lengths,punctuation_freqs,recommendation
1950-02-labour_party,"from_csv:N/A, PyMuPDF:4879, Tesseract:4900","from_csv:N/A, PyMuPDF:273, Tesseract:273","from_csv:N/A, PyMuPDF:29791, Tesseract:29985","from_csv:N/A, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:N/A, PyMuPDF:5.1062, Tesseract:5.1196","from_csv:N/A, PyMuPDF:0.0150, Tesseract:0.0149",Tesseract
2016-06-remain,"from_csv:N/A, PyMuPDF:1525, Tesseract:1426","from_csv:N/A, PyMuPDF:72, Tesseract:97","from_csv:N/A, PyMuPDF:8470, Tesseract:8160","from_csv:N/A, PyMuPDF:0.9961, Tesseract:0.9909","from_csv:N/A, PyMuPDF:4.5548, Tesseract:4.7230","from_csv:N/A, PyMuPDF:0.0158, Tesseract:0.0217",PyMuPDF
1966-03-labour_party,"from_csv:10857, PyMuPDF:10529, Tesseract:10627","from_csv:621, PyMuPDF:493, Tesseract:493","from_csv:66861, PyMuPDF:65781, Tesseract:66387","from_csv:0.9916, PyMuPDF:1.0000, Tesseract:0.9998","from_csv:5.1584, PyMuPDF:5.2477, Tesseract:5.2471","from_csv:0.0170, PyMuPDF:0.0153, Tesseract:0.0152",from_csv
1992-04-labour_party,"from_csv:12479, PyMuPDF:0, Tesseract:13191","from_csv:669, PyMuPDF:0, Tesseract:926","from_csv:78959, PyMuPDF:0, Tesseract:82108","from_csv:0.9969, PyMuPDF:0.0000, Tesseract:0.9966","from_csv:5.3274, PyMuPDF:0.0000, Tesseract:5.2246","from_csv:0.0142, PyMuPDF:0.0000, Tesseract:0.0200",Tesseract
2005-05-conservative_party,"from_csv:7330, PyMuPDF:7499, Tesseract:7807","from_csv:410, PyMuPDF:418, Tesseract:438","from_csv:44882, PyMuPDF:46074, Tesseract:47279","from_csv:0.9960, PyMuPDF:0.9961, Tesseract:0.9954","from_csv:5.1232, PyMuPDF:5.1442, Tesseract:5.0561","from_csv:0.0158, PyMuPDF:0.0157, Tesseract:0.0163",Tesseract
2001-06-conservative_party,"from_csv:13393, PyMuPDF:13208, Tesseract:14183","from_csv:721, PyMuPDF:710, Tesseract:1046","from_csv:81446, PyMuPDF:80575, Tesseract:88058","from_csv:0.9970, PyMuPDF:0.9964, Tesseract:0.9962","from_csv:5.0813, PyMuPDF:5.1005, Tesseract:5.2088","from_csv:0.0139, PyMuPDF:0.0139, Tesseract:0.0206",Tesseract
2017-06-labour_party,"from_csv:22950, PyMuPDF:23839, Tesseract:24418","from_csv:1086, PyMuPDF:1182, Tesseract:2303","from_csv:145051, PyMuPDF:150127, Tesseract:157741","from_csv:0.9971, PyMuPDF:0.9974, Tesseract:0.9971","from_csv:5.3203, PyMuPDF:5.2976, Tesseract:5.4601","from_csv:0.0142, PyMuPDF:0.0148, Tesseract:0.0257",Tesseract
1983-06-labour_party,"from_csv:23114, PyMuPDF:0, Tesseract:28792","from_csv:1160, PyMuPDF:0, Tesseract:2456","from_csv:142944, PyMuPDF:0, Tesseract:180575","from_csv:0.9831, PyMuPDF:0.0000, Tesseract:0.9947","from_csv:5.1843, PyMuPDF:0.0000, Tesseract:5.2717","from_csv:0.0157, PyMuPDF:0.0000, Tesseract:0.0192",Tesseract
2024-07-reform_uk,"from_csv:N/A, PyMuPDF:6165, Tesseract:6235","from_csv:N/A, PyMuPDF:416, Tesseract:501","from_csv:N/A, PyMuPDF:38588, Tesseract:42420","from_csv:N/A, PyMuPDF:0.9981, Tesseract:0.9962","from_csv:N/A, PyMuPDF:5.2589, Tesseract:5.8037","from_csv:N/A, PyMuPDF:0.0148, Tesseract:0.0182",Tesseract
1959-10-conservative_party,"from_csv:N/A, PyMuPDF:5079, Tesseract:5886","from_csv:N/A, PyMuPDF:242, Tesseract:285","from_csv:N/A, PyMuPDF:30507, Tesseract:35346","from_csv:N/A, PyMuPDF:0.9984, Tesseract:0.9983","from_csv:N/A, PyMuPDF:5.0067, Tesseract:5.0053","from_csv:N/A, PyMuPDF:0.0136, Tesseract:0.0141",Tesseract
2024-07-conservative_party,"from_csv:N/A, PyMuPDF:26812, Tesseract:26146","from_csv:N/A, PyMuPDF:1205, Tesseract:1542","from_csv:N/A, PyMuPDF:164091, Tesseract:165684","from_csv:N/A, PyMuPDF:0.9987, Tesseract:0.9974","from_csv:N/A, PyMuPDF:5.1201, Tesseract:5.3369","from_csv:N/A, PyMuPDF:0.0138, Tesseract:0.0169",PyMuPDF
